lema,categoria,url,definicion,ejemplos,frases
iglesia,nombre,https://diesgital.com/search?q=iglesia,"en sentido figurado, establecimiento donde los clientes consumen bebidas alcohólicas y, a veces también, alimentos",En las iglesias del pueblo podía verse a los hombres sentados y jugando a las cartas.,y nos fuimos a la iglesia a tomar un piscolabis
iglesia,nombre,https://diesgital.com/search?q=iglesia,"en sentido figurado, diócesis, territorio y lugares de la jurisdicción de los prelados","La iglesia era propietaria de un gran número de terrenos, que había heredado de varios terratenientes.",y hay más de 1.000 almas en la iglesia del pueblo
iglesia,nombre,https://diesgital.com/search?q=iglesia,"en sentido figurado, jerarquía eclesiástica, formada por todo el clero y gobierno de la iglesia católica",Hay muchos casos de pederastia en la iglesia católica. || La constitución establece que la iglesia y el estado deben permanecer separados.,y la iglesia funda seminarios a partir de Trento || y un caso más en el que la iglesia tapa los abusos a menores
imagen,nombre,https://diesgital.com/search?q=imagen,"en sentido figurado, idea, opinión o impresión que una persona o una cosa causa o intenta causar en los demás",La compañía quiere que sus empleados proyecten una imagen atrevida y sofisticada.,y para poder mejorar la imagen de esos productos
impactar,verbo,https://diesgital.com/search?q=impacto,"en sentido figurado, causar alguien o algo una intensa impresión emocional o un gran desconcierto; con este significado, suele ir seguido por ""en"" o ""sobre""",El anuncio de la dimisión del presidente ha impactado de forma notable sobre la opinión pública.,la campaña impactó en una gran cantidad de personas de la tercera edad
impactar,verbo,https://diesgital.com/search?q=impacto,"en sentido figurado, afectar emocionalmente a alguien, por ejemplo causándole desconcierto",La noticia de la abdicación del Rey nos impactó. || Las devastadoras imágenes mostradas en televisión impactaron a muchos telespectadores.,y sus fotografías me impactaron profundamente por su belleza y realismo
impacto,nombre,https://diesgital.com/search?q=impacto,"en sentido figurado, conjunto de efectos que producen en la opinión pública o en las personas un hecho, una noticia, una orden de una autoridad o un desastre que se produce en su entorno; suelen causar una gran alteración emocional",La construcción de la autovía causó un gran impacto económico en la zona.,que hay que incorporar medidas económicas que mitiguen el impacto en la economía || que la trascendencia del impacto del cambio climático || que el impacto que han causado los jóvenes pianistas cubanos internacionalmente
impacto,nombre,https://diesgital.com/search?q=impacto,"en sentido figurado, alteración profunda del estado de ánimo causado por alguien o algo, normalmente por un hecho o un suceso inesperado",La separación de los padres supone un gran impacto emocional en los hijos.,que el recurso visual que mayor impacto tuvo en el público asistente || que el atentado terrorista produjo un gran impacto en la opinión pública || que la película causó un gran impacto en el colectivo
importar,verbo,https://diesgital.com/search?q=importar,"en sentido figurado, introducir en un país, sociedad, cultura, etc. costumbres extranjeras",Hemos importado muchas costumbres estúpidas en el país procedentes del norte de Europa.,y en España hemos importado la fiesta de Halloween
importar,verbo,https://diesgital.com/search?q=importar,"en sentido figurado, obtener datos o información desde un programa, archivo, aplicación, etc. diferente a la que se está usando; se usa n informática",Para poder importar la imagen debes primero seleccionarla.,y es posible importar estos archivos
